Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00001
00173, 00000
00174, 00001
00175, 00000
00176, 00004
00177, 00000
00178, 00018
00179, 00010
00180, 00030
00181, 00043
00182, 00087
00183, 00109
00184, 00197
00185, 00241
00186, 00417
00187, 00607
00188, 00871
00189, 01420
00190, 01926
00191, 03205
00192, 03959
00193, 06583
00194, 08336
00195, 12939
00196, 15522
00197, 22284
00198, 26608
00199, 33608
00200, 39661
00201, 45030
00202, 50284
00203, 52856
00204, 54967
00205, 54277
00206, 53806
00207, 50022
00208, 46874
00209, 42886
00210, 38823
00211, 35372
00212, 30618
00213, 27749
00214, 23352
00215, 21276
00216, 17936
00217, 15919
00218, 13770
00219, 12574
00220, 10932
00221, 10106
00222, 09135
00223, 08363
00224, 07694
00225, 07212
00226, 06824
00227, 06359
00228, 05914
00229, 05501
00230, 05495
00231, 05163
00232, 05096
00233, 04812
00234, 04749
00235, 04503
00236, 04454
00237, 04205
00238, 04152
00239, 03937
00240, 03954
00241, 03740
00242, 03648
00243, 03540
00244, 03636
00245, 03443
00246, 03503
00247, 03334
00248, 03234
00249, 03182
00250, 03139
00251, 02925
00252, 03117
00253, 02753
00254, 02969
00255, 02820
00256, 02815
00257, 02646
00258, 02664
00259, 02640
00260, 02645
00261, 02583
00262, 02484
00263, 02528
00264, 02442
00265, 02317
00266, 02330
00267, 02174
00268, 02213
00269, 02218
00270, 02085
00271, 02084
00272, 02130
00273, 02134
00274, 02072
00275, 01948
00276, 01958
00277, 01883
00278, 01925
00279, 01807
00280, 01842
00281, 01834
00282, 01828
00283, 01808
00284, 01782
00285, 01687
00286, 01678
00287, 01616
00288, 01762
00289, 01613
00290, 01618
00291, 01588
00292, 01554
00293, 01483
00294, 01543
00295, 01471
00296, 01460
00297, 01401
00298, 01342
00299, 01354
00300, 01338
00301, 01322
00302, 01270
00303, 01239
00304, 01241
00305, 01219
00306, 01295
00307, 01186
00308, 01225
00309, 01238
00310, 01229
00311, 01241
00312, 01222
00313, 01190
00314, 01152
00315, 01163
00316, 01104
00317, 01104
00318, 01137
00319, 01094
00320, 01109
00321, 01056
00322, 01058
00323, 01022
00324, 01032
00325, 01047
00326, 01032
00327, 01028
00328, 01014
00329, 00923
00330, 00955
00331, 00997
00332, 00973
00333, 00932
00334, 00933
00335, 00910
00336, 00936
00337, 00949
00338, 00883
00339, 00891
00340, 00886
00341, 00936
00342, 00888
00343, 00826
