Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00001
00171, 00001
00172, 00000
00173, 00002
00174, 00001
00175, 00001
00176, 00000
00177, 00007
00178, 00010
00179, 00014
00180, 00029
00181, 00039
00182, 00080
00183, 00092
00184, 00186
00185, 00232
00186, 00378
00187, 00591
00188, 00848
00189, 01412
00190, 01888
00191, 02976
00192, 03896
00193, 06095
00194, 07683
00195, 11790
00196, 14508
00197, 20199
00198, 24791
00199, 30871
00200, 36527
00201, 41763
00202, 46297
00203, 49681
00204, 51687
00205, 51822
00206, 51352
00207, 49025
00208, 46491
00209, 42970
00210, 39490
00211, 36391
00212, 32705
00213, 29387
00214, 25686
00215, 23439
00216, 20169
00217, 18629
00218, 15951
00219, 14461
00220, 12864
00221, 11564
00222, 10320
00223, 09387
00224, 08701
00225, 08082
00226, 07586
00227, 06934
00228, 06587
00229, 06118
00230, 05904
00231, 05462
00232, 05373
00233, 04995
00234, 04837
00235, 04652
00236, 04670
00237, 04351
00238, 04306
00239, 04128
00240, 03991
00241, 03810
00242, 03896
00243, 03852
00244, 03727
00245, 03517
00246, 03557
00247, 03452
00248, 03557
00249, 03335
00250, 03313
00251, 03071
00252, 03155
00253, 02882
00254, 03013
00255, 02912
00256, 02925
00257, 02850
00258, 02855
00259, 02807
00260, 02618
00261, 02665
00262, 02620
00263, 02544
00264, 02521
00265, 02390
00266, 02357
00267, 02367
00268, 02324
00269, 02246
00270, 02202
00271, 02237
00272, 02159
00273, 02138
00274, 02116
00275, 02183
00276, 02097
00277, 02022
00278, 01941
00279, 01926
00280, 02002
00281, 01818
00282, 01866
00283, 01752
00284, 01738
00285, 01730
00286, 01745
00287, 01710
00288, 01712
00289, 01601
00290, 01629
00291, 01714
00292, 01566
00293, 01608
00294, 01558
00295, 01540
00296, 01461
00297, 01472
00298, 01465
00299, 01457
00300, 01340
00301, 01409
00302, 01369
00303, 01309
00304, 01315
00305, 01211
00306, 01327
00307, 01263
00308, 01263
00309, 01281
00310, 01250
00311, 01266
00312, 01205
00313, 01174
00314, 01253
00315, 01214
00316, 01195
00317, 01225
00318, 01141
00319, 01123
00320, 01104
00321, 01079
00322, 01107
00323, 00982
00324, 01076
00325, 01058
00326, 01006
00327, 00969
00328, 01036
00329, 00999
00330, 00905
00331, 00987
00332, 00957
00333, 00894
00334, 00940
00335, 00956
00336, 00909
00337, 00941
00338, 00956
00339, 00956
00340, 00906
00341, 00875
00342, 00954
00343, 00927
