Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00001
00175, 00003
00176, 00003
00177, 00002
00178, 00005
00179, 00012
00180, 00025
00181, 00033
00182, 00085
00183, 00091
00184, 00189
00185, 00259
00186, 00428
00187, 00602
00188, 00857
00189, 01382
00190, 01808
00191, 03110
00192, 03890
00193, 06393
00194, 07855
00195, 12243
00196, 14964
00197, 21246
00198, 25917
00199, 32397
00200, 37622
00201, 43557
00202, 48004
00203, 51091
00204, 53763
00205, 53735
00206, 53594
00207, 50636
00208, 47665
00209, 43646
00210, 39328
00211, 35603
00212, 31009
00213, 28018
00214, 24261
00215, 22161
00216, 18753
00217, 17221
00218, 14846
00219, 13549
00220, 11665
00221, 10752
00222, 09578
00223, 08815
00224, 08118
00225, 07547
00226, 07260
00227, 06750
00228, 06448
00229, 06008
00230, 05686
00231, 05298
00232, 05267
00233, 04769
00234, 04907
00235, 04414
00236, 04396
00237, 04262
00238, 04226
00239, 04045
00240, 04036
00241, 03843
00242, 03830
00243, 03673
00244, 03724
00245, 03420
00246, 03591
00247, 03278
00248, 03360
00249, 03167
00250, 03222
00251, 03125
00252, 03112
00253, 02990
00254, 02880
00255, 02797
00256, 02908
00257, 02786
00258, 02724
00259, 02568
00260, 02630
00261, 02528
00262, 02554
00263, 02391
00264, 02428
00265, 02391
00266, 02380
00267, 02197
00268, 02269
00269, 02117
00270, 02142
00271, 02176
00272, 02126
00273, 02112
00274, 02132
00275, 02011
00276, 02064
00277, 02015
00278, 02103
00279, 01831
00280, 01902
00281, 01903
00282, 01867
00283, 01734
00284, 01789
00285, 01734
00286, 01718
00287, 01665
00288, 01601
00289, 01642
00290, 01610
00291, 01644
00292, 01653
00293, 01564
00294, 01563
00295, 01463
00296, 01448
00297, 01435
00298, 01368
00299, 01367
00300, 01344
00301, 01276
00302, 01318
00303, 01246
00304, 01259
00305, 01296
00306, 01282
00307, 01266
00308, 01275
00309, 01219
00310, 01321
00311, 01183
00312, 01133
00313, 01199
00314, 01197
00315, 01153
00316, 01135
00317, 01148
00318, 01099
00319, 01096
00320, 01129
00321, 01038
00322, 01135
00323, 01073
00324, 01099
00325, 01097
00326, 01098
00327, 00999
00328, 01007
00329, 00972
00330, 00995
00331, 00978
00332, 00953
00333, 00963
00334, 00958
00335, 00914
00336, 00959
00337, 00910
00338, 00966
00339, 00905
00340, 00927
00341, 00902
00342, 00938
00343, 00853
