Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00000
00175, 00001
00176, 00004
00177, 00002
00178, 00019
00179, 00012
00180, 00047
00181, 00047
00182, 00126
00183, 00188
00184, 00318
00185, 00505
00186, 00754
00187, 01381
00188, 01786
00189, 03353
00190, 04178
00191, 07649
00192, 09340
00193, 16248
00194, 20349
00195, 30289
00196, 38104
00197, 49371
00198, 59641
00199, 67972
00200, 76507
00201, 79990
00202, 82464
00203, 80883
00204, 77710
00205, 69112
00206, 62836
00207, 54514
00208, 45505
00209, 39384
00210, 31537
00211, 27868
00212, 22105
00213, 19995
00214, 16198
00215, 15024
00216, 12438
00217, 11755
00218, 09980
00219, 09416
00220, 08446
00221, 07870
00222, 07207
00223, 06781
00224, 06385
00225, 06058
00226, 05526
00227, 05272
00228, 05251
00229, 04952
00230, 04617
00231, 04549
00232, 04297
00233, 04001
00234, 03855
00235, 03571
00236, 03539
00237, 03387
00238, 03340
00239, 03106
00240, 03062
00241, 02970
00242, 03009
00243, 02833
00244, 02793
00245, 02646
00246, 02524
00247, 02400
00248, 02414
00249, 02204
00250, 02229
00251, 02083
00252, 02011
00253, 01953
00254, 01973
00255, 01903
00256, 01777
00257, 01692
00258, 01676
00259, 01689
00260, 01659
00261, 01498
00262, 01508
00263, 01352
00264, 01426
00265, 01268
00266, 01377
00267, 01225
00268, 01277
00269, 01189
00270, 01180
00271, 01144
00272, 01213
00273, 01019
00274, 01081
00275, 01059
00276, 01053
00277, 00973
00278, 01028
00279, 00977
00280, 00986
00281, 00916
00282, 00883
00283, 00854
00284, 00869
00285, 00820
00286, 00789
00287, 00791
00288, 00835
00289, 00816
00290, 00753
00291, 00757
00292, 00757
00293, 00715
00294, 00710
00295, 00628
00296, 00700
00297, 00636
00298, 00653
00299, 00658
00300, 00600
00301, 00608
00302, 00666
00303, 00576
00304, 00596
00305, 00575
00306, 00556
00307, 00603
00308, 00562
00309, 00545
00310, 00593
00311, 00544
00312, 00533
00313, 00573
00314, 00497
00315, 00514
00316, 00505
00317, 00504
00318, 00497
00319, 00469
00320, 00475
00321, 00488
00322, 00485
00323, 00478
00324, 00464
00325, 00422
00326, 00458
00327, 00445
00328, 00426
00329, 00417
00330, 00383
00331, 00399
00332, 00388
00333, 00400
00334, 00433
00335, 00418
00336, 00445
00337, 00393
00338, 00469
00339, 00396
00340, 00440
00341, 00366
00342, 00430
00343, 00365
