Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00000
00175, 00000
00176, 00003
00177, 00002
00178, 00003
00179, 00003
00180, 00006
00181, 00013
00182, 00044
00183, 00055
00184, 00124
00185, 00138
00186, 00264
00187, 00442
00188, 00593
00189, 01035
00190, 01357
00191, 02666
00192, 03221
00193, 05589
00194, 07170
00195, 11573
00196, 14275
00197, 20271
00198, 24952
00199, 32006
00200, 37967
00201, 43572
00202, 48781
00203, 52045
00204, 54339
00205, 53653
00206, 53207
00207, 49546
00208, 45914
00209, 41439
00210, 36381
00211, 32716
00212, 28083
00213, 25476
00214, 21372
00215, 19609
00216, 16857
00217, 15771
00218, 13829
00219, 12700
00220, 11349
00221, 10428
00222, 09465
00223, 08615
00224, 08245
00225, 07662
00226, 07228
00227, 07006
00228, 06532
00229, 06114
00230, 06011
00231, 05618
00232, 05604
00233, 05114
00234, 05126
00235, 04912
00236, 04884
00237, 04529
00238, 04425
00239, 04113
00240, 04392
00241, 04134
00242, 04098
00243, 03880
00244, 03903
00245, 03736
00246, 03829
00247, 03581
00248, 03592
00249, 03349
00250, 03403
00251, 03171
00252, 03238
00253, 03129
00254, 03006
00255, 02954
00256, 02959
00257, 02833
00258, 02894
00259, 02727
00260, 02734
00261, 02637
00262, 02714
00263, 02463
00264, 02539
00265, 02402
00266, 02446
00267, 02367
00268, 02409
00269, 02215
00270, 02235
00271, 02170
00272, 02085
00273, 02167
00274, 02084
00275, 02008
00276, 02135
00277, 01935
00278, 02001
00279, 01924
00280, 01973
00281, 01854
00282, 01927
00283, 01850
00284, 01843
00285, 01721
00286, 01713
00287, 01800
00288, 01723
00289, 01637
00290, 01667
00291, 01711
00292, 01624
00293, 01608
00294, 01582
00295, 01501
00296, 01448
00297, 01393
00298, 01427
00299, 01400
00300, 01448
00301, 01414
00302, 01431
00303, 01342
00304, 01429
00305, 01374
00306, 01409
00307, 01284
00308, 01282
00309, 01313
00310, 01354
00311, 01343
00312, 01319
00313, 01257
00314, 01224
00315, 01237
00316, 01228
00317, 01210
00318, 01163
00319, 01106
00320, 01134
00321, 01139
00322, 01213
00323, 01148
00324, 01174
00325, 01072
00326, 01109
00327, 01105
00328, 01081
00329, 01039
00330, 01043
00331, 01064
00332, 01067
00333, 01014
00334, 01005
00335, 00967
00336, 00984
00337, 00986
00338, 01035
00339, 00985
00340, 00914
00341, 00953
00342, 00901
00343, 00962
