Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00002
00175, 00002
00176, 00008
00177, 00006
00178, 00023
00179, 00023
00180, 00091
00181, 00093
00182, 00213
00183, 00276
00184, 00518
00185, 00903
00186, 01171
00187, 02415
00188, 03050
00189, 05993
00190, 07490
00191, 13823
00192, 17075
00193, 28736
00194, 35557
00195, 52234
00196, 65128
00197, 81255
00198, 97367
00199, 107545
00200, 118162
00201, 119490
00202, 119584
00203, 109710
00204, 100208
00205, 84936
00206, 69593
00207, 56699
00208, 40792
00209, 32896
00210, 21135
00211, 17301
00212, 10501
00213, 08759
00214, 04968
00215, 04236
00216, 02439
00217, 01899
00218, 01110
00219, 00811
00220, 00567
00221, 00328
00222, 00240
00223, 00105
00224, 00085
00225, 00056
00226, 00030
00227, 00022
00228, 00009
00229, 00005
00230, 00003
00231, 00002
00232, 00001
00233, 00001
00234, 00000
00235, 00000
00236, 00000
00237, 00000
00238, 00000
00239, 00000
00240, 00000
00241, 00000
00242, 00000
00243, 00000
00244, 00000
00245, 00000
00246, 00000
00247, 00000
00248, 00000
00249, 00000
00250, 00000
00251, 00000
00252, 00000
00253, 00000
00254, 00000
00255, 00000
00256, 00000
00257, 00000
00258, 00000
00259, 00000
00260, 00000
00261, 00000
00262, 00000
00263, 00000
00264, 00000
00265, 00000
00266, 00000
00267, 00000
00268, 00000
00269, 00000
00270, 00000
00271, 00000
00272, 00000
00273, 00000
00274, 00000
00275, 00000
00276, 00000
00277, 00000
00278, 00000
00279, 00000
00280, 00000
00281, 00000
00282, 00000
00283, 00000
00284, 00000
00285, 00000
00286, 00000
00287, 00000
00288, 00000
00289, 00000
00290, 00000
00291, 00000
00292, 00000
00293, 00000
00294, 00000
00295, 00000
00296, 00000
00297, 00000
00298, 00000
00299, 00000
00300, 00000
00301, 00000
00302, 00000
00303, 00000
00304, 00000
00305, 00000
00306, 00000
00307, 00000
00308, 00000
00309, 00000
00310, 00000
00311, 00000
00312, 00000
00313, 00000
00314, 00000
00315, 00000
00316, 00000
00317, 00000
00318, 00000
00319, 00000
00320, 00000
00321, 00000
00322, 00000
00323, 00000
00324, 00000
00325, 00000
00326, 00000
00327, 00000
00328, 00000
00329, 00000
00330, 00000
00331, 00000
00332, 00000
00333, 00000
00334, 00000
00335, 00000
00336, 00000
00337, 00000
00338, 00000
00339, 00000
00340, 00000
00341, 00000
00342, 00000
00343, 00000
