Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00000
00175, 00000
00176, 00001
00177, 00001
00178, 00001
00179, 00005
00180, 00011
00181, 00012
00182, 00043
00183, 00041
00184, 00128
00185, 00142
00186, 00240
00187, 00411
00188, 00536
00189, 01008
00190, 01366
00191, 02401
00192, 03033
00193, 05148
00194, 06552
00195, 10389
00196, 13106
00197, 18809
00198, 23431
00199, 29997
00200, 35050
00201, 40515
00202, 45079
00203, 48718
00204, 51422
00205, 52006
00206, 51251
00207, 48542
00208, 45990
00209, 41832
00210, 37924
00211, 34047
00212, 29888
00213, 26739
00214, 23296
00215, 21561
00216, 18601
00217, 17389
00218, 15018
00219, 13944
00220, 12063
00221, 11384
00222, 10291
00223, 09345
00224, 08716
00225, 08185
00226, 07722
00227, 07048
00228, 06857
00229, 06495
00230, 06314
00231, 05966
00232, 05748
00233, 05415
00234, 05290
00235, 04915
00236, 04879
00237, 04530
00238, 04626
00239, 04424
00240, 04440
00241, 04185
00242, 04162
00243, 04017
00244, 04028
00245, 03886
00246, 03919
00247, 03530
00248, 03592
00249, 03418
00250, 03509
00251, 03282
00252, 03250
00253, 03096
00254, 03100
00255, 03037
00256, 02975
00257, 03023
00258, 02927
00259, 02770
00260, 02719
00261, 02733
00262, 02685
00263, 02650
00264, 02700
00265, 02463
00266, 02425
00267, 02271
00268, 02368
00269, 02294
00270, 02334
00271, 02221
00272, 02194
00273, 02157
00274, 02245
00275, 02024
00276, 02105
00277, 02079
00278, 02057
00279, 02048
00280, 01943
00281, 01956
00282, 01955
00283, 01847
00284, 01861
00285, 01790
00286, 01752
00287, 01774
00288, 01726
00289, 01709
00290, 01780
00291, 01720
00292, 01680
00293, 01675
00294, 01622
00295, 01575
00296, 01557
00297, 01500
00298, 01438
00299, 01452
00300, 01342
00301, 01345
00302, 01374
00303, 01359
00304, 01403
00305, 01362
00306, 01413
00307, 01372
00308, 01384
00309, 01362
00310, 01403
00311, 01364
00312, 01334
00313, 01328
00314, 01349
00315, 01224
00316, 01259
00317, 01280
00318, 01231
00319, 01161
00320, 01178
00321, 01121
00322, 01170
00323, 01191
00324, 01191
00325, 01154
00326, 01155
00327, 01111
00328, 01121
00329, 01084
00330, 00986
00331, 01075
00332, 01038
00333, 01042
00334, 01019
00335, 01030
00336, 01018
00337, 00984
00338, 01054
00339, 01012
00340, 01021
00341, 00999
00342, 00963
00343, 00950
