Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00000
00175, 00001
00176, 00000
00177, 00000
00178, 00002
00179, 00000
00180, 00007
00181, 00015
00182, 00055
00183, 00040
00184, 00098
00185, 00131
00186, 00246
00187, 00423
00188, 00614
00189, 01147
00190, 01414
00191, 02716
00192, 03253
00193, 05768
00194, 07127
00195, 11631
00196, 14114
00197, 20814
00198, 25276
00199, 32570
00200, 38517
00201, 44091
00202, 49400
00203, 52176
00204, 54737
00205, 53929
00206, 53345
00207, 49730
00208, 45907
00209, 41299
00210, 36608
00211, 32707
00212, 27872
00213, 25288
00214, 21646
00215, 19831
00216, 16844
00217, 15568
00218, 13518
00219, 12631
00220, 11088
00221, 10323
00222, 09347
00223, 08544
00224, 08277
00225, 07562
00226, 07164
00227, 06819
00228, 06671
00229, 06019
00230, 05887
00231, 05602
00232, 05437
00233, 05156
00234, 04969
00235, 04812
00236, 04650
00237, 04386
00238, 04422
00239, 04206
00240, 04253
00241, 04133
00242, 04205
00243, 03844
00244, 03874
00245, 03751
00246, 03595
00247, 03538
00248, 03440
00249, 03330
00250, 03428
00251, 03235
00252, 03264
00253, 03089
00254, 03014
00255, 02953
00256, 02966
00257, 02823
00258, 02827
00259, 02681
00260, 02885
00261, 02535
00262, 02632
00263, 02580
00264, 02620
00265, 02442
00266, 02395
00267, 02364
00268, 02325
00269, 02267
00270, 02236
00271, 02112
00272, 02186
00273, 02142
00274, 02158
00275, 02028
00276, 02085
00277, 01998
00278, 02072
00279, 01965
00280, 01960
00281, 01822
00282, 01842
00283, 01783
00284, 01827
00285, 01814
00286, 01754
00287, 01698
00288, 01767
00289, 01663
00290, 01695
00291, 01602
00292, 01670
00293, 01595
00294, 01539
00295, 01446
00296, 01516
00297, 01371
00298, 01420
00299, 01367
00300, 01401
00301, 01276
00302, 01376
00303, 01342
00304, 01364
00305, 01328
00306, 01405
00307, 01344
00308, 01351
00309, 01364
00310, 01366
00311, 01275
00312, 01300
00313, 01251
00314, 01238
00315, 01192
00316, 01209
00317, 01242
00318, 01217
00319, 01148
00320, 01150
00321, 01176
00322, 01147
00323, 01138
00324, 01174
00325, 01115
00326, 01186
00327, 01052
00328, 01083
00329, 01077
00330, 01045
00331, 01069
00332, 01022
00333, 00993
00334, 00981
00335, 00989
00336, 01039
00337, 00977
00338, 00996
00339, 00922
00340, 00986
00341, 00904
00342, 00951
00343, 00959
