Index, Value
14336, 00002
14337, 00003
14338, 00001
14339, 00001
14340, 00001
14341, 00002
14342, 00001
14343, 00001
14344, 00001
14345, 00002
14346, 00001
14347, 00001
14348, 00001
14349, 00001
14350, 00000
14351, 00003
14352, 00001
14353, 00000
14354, 00000
14355, 00000
14356, 00000
14357, 00001
14358, 00003
14359, 00000
14360, 00001
14361, 00001
14362, 00001
14363, 00000
14364, 00000
14365, 00000
14366, 00001
14367, 00000
14368, 00000
14369, 00001
14370, 00001
14371, 00003
14372, 00000
14373, 00001
14374, 00002
14375, 00000
14376, 00000
14377, 00000
14378, 00000
14379, 00001
14380, 00001
14381, 00001
14382, 00000
14383, 00001
14384, 00000
14385, 00001
14386, 00000
14387, 00003
14388, 00000
14389, 00000
14390, 00002
14391, 00000
14392, 00001
14393, 00002
14394, 00001
14395, 00001
14396, 00000
14397, 00000
14398, 00000
14399, 00000
14400, 00001
14401, 00001
14402, 00001
14403, 00001
14404, 00000
14405, 00001
14406, 00001
14407, 00000
14408, 00001
14409, 00002
14410, 00001
14411, 00001
14412, 00000
14413, 00001
14414, 00000
14415, 00001
14416, 00002
14417, 00000
14418, 00000
14419, 00000
14420, 00001
14421, 00000
14422, 00001
14423, 00000
14424, 00005
14425, 00000
14426, 00000
14427, 00000
14428, 00001
14429, 00002
14430, 00000
14431, 00000
14432, 00000
14433, 00001
14434, 00002
14435, 00000
14436, 00001
14437, 00000
14438, 00000
14439, 00000
14440, 00001
14441, 00001
14442, 00000
14443, 00000
14444, 00000
14445, 00000
14446, 00000
14447, 00001
14448, 00001
14449, 00001
14450, 00001
14451, 00001
14452, 00000
14453, 00001
14454, 00000
14455, 00004
14456, 00000
14457, 00001
14458, 00002
14459, 00001
14460, 00001
14461, 00001
14462, 00001
14463, 00001
14464, 00000
14465, 00001
14466, 00001
14467, 00001
14468, 00001
14469, 00000
14470, 00002
14471, 00000
14472, 00000
14473, 00001
14474, 00001
14475, 00000
14476, 00000
14477, 00001
14478, 00000
14479, 00004
14480, 00004
14481, 00000
14482, 00001
14483, 00001
14484, 00000
14485, 00002
14486, 00000
14487, 00001
14488, 00001
14489, 00000
14490, 00000
14491, 00000
14492, 00002
14493, 00001
14494, 00001
14495, 00000
14496, 00001
14497, 00002
14498, 00000
14499, 00001
14500, 00000
14501, 00001
14502, 00000
14503, 00000
14504, 00001
14505, 00000
14506, 00000
14507, 00000
14508, 00000
14509, 00000
14510, 00001
14511, 00000
14512, 00000
14513, 00004
14514, 00002
14515, 00002
14516, 00001
14517, 00000
14518, 00000
14519, 00002
14520, 00000
14521, 00000
14522, 00000
14523, 00000
14524, 00000
14525, 00000
14526, 00001
14527, 00000
14528, 00002
14529, 00001
14530, 00000
14531, 00000
14532, 00000
14533, 00001
14534, 00001
14535, 00000
14536, 00000
14537, 00001
14538, 00000
14539, 00001
14540, 00001
14541, 00000
14542, 00001
14543, 00002
14544, 00000
14545, 00002
14546, 00002
14547, 00001
14548, 00000
14549, 00000
14550, 00001
14551, 00000
14552, 00000
14553, 00002
14554, 00001
14555, 00000
14556, 00002
14557, 00002
14558, 00000
14559, 00001
14560, 00000
14561, 00000
14562, 00000
14563, 00003
14564, 00000
14565, 00000
14566, 00002
14567, 00001
14568, 00003
14569, 00000
14570, 00001
14571, 00001
14572, 00000
14573, 00001
14574, 00000
14575, 00001
14576, 00000
14577, 00001
14578, 00001
14579, 00000
14580, 00000
14581, 00000
14582, 00000
14583, 00000
14584, 00002
14585, 00000
14586, 00002
14587, 00002
14588, 00002
14589, 00002
14590, 00001
14591, 00001
14592, 00001
14593, 00001
14594, 00000
14595, 00002
14596, 00000
14597, 00001
14598, 00000
14599, 00000
14600, 00001
14601, 00000
14602, 00001
14603, 00001
14604, 00001
14605, 00000
14606, 00000
14607, 00000
14608, 00000
14609, 00001
14610, 00000
14611, 00000
14612, 00003
14613, 00001
14614, 00000
14615, 00000
14616, 00002
14617, 00001
14618, 00000
14619, 00001
14620, 00002
14621, 00000
14622, 00001
14623, 00002
14624, 00001
14625, 00000
14626, 00000
14627, 00001
14628, 00000
14629, 00000
14630, 00000
14631, 00002
14632, 00001
14633, 00001
14634, 00001
14635, 00000
14636, 00000
14637, 00000
14638, 00001
14639, 00002
14640, 00000
14641, 00001
14642, 00000
14643, 00001
14644, 00001
14645, 00001
14646, 00001
14647, 00000
14648, 00001
14649, 00002
14650, 00000
14651, 00001
14652, 00000
14653, 00000
14654, 00002
14655, 00000
14656, 00000
14657, 00001
14658, 00000
14659, 00000
14660, 00000
14661, 00000
14662, 00001
14663, 00000
14664, 00000
14665, 00000
14666, 00000
14667, 00001
14668, 00002
14669, 00001
14670, 00001
14671, 00001
14672, 00001
14673, 00000
14674, 00001
14675, 00002
14676, 00002
14677, 00001
14678, 00000
14679, 00000
14680, 00000
14681, 00000
14682, 00000
14683, 00001
