Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00000
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00000
00173, 00000
00174, 00000
00175, 00000
00176, 00000
00177, 00001
00178, 00006
00179, 00002
00180, 00019
00181, 00011
00182, 00038
00183, 00053
00184, 00106
00185, 00156
00186, 00280
00187, 00427
00188, 00606
00189, 01092
00190, 01414
00191, 02623
00192, 03271
00193, 05863
00194, 07162
00195, 11641
00196, 14255
00197, 20584
00198, 25468
00199, 32323
00200, 38054
00201, 43658
00202, 49138
00203, 51787
00204, 54408
00205, 53682
00206, 53561
00207, 49345
00208, 45696
00209, 41887
00210, 36564
00211, 32786
00212, 28255
00213, 25635
00214, 21839
00215, 19915
00216, 17091
00217, 15774
00218, 13656
00219, 12875
00220, 11241
00221, 10342
00222, 09383
00223, 08709
00224, 08376
00225, 07832
00226, 07514
00227, 06896
00228, 06789
00229, 06157
00230, 06009
00231, 05608
00232, 05517
00233, 05040
00234, 05110
00235, 04872
00236, 04661
00237, 04520
00238, 04529
00239, 04199
00240, 04182
00241, 04169
00242, 04144
00243, 03870
00244, 03932
00245, 03664
00246, 03761
00247, 03507
00248, 03568
00249, 03462
00250, 03349
00251, 03236
00252, 03156
00253, 03081
00254, 03059
00255, 02838
00256, 02913
00257, 02744
00258, 02825
00259, 02692
00260, 02773
00261, 02598
00262, 02603
00263, 02459
00264, 02507
00265, 02384
00266, 02301
00267, 02319
00268, 02341
00269, 02273
00270, 02265
00271, 02158
00272, 02215
00273, 02141
00274, 02090
00275, 02111
00276, 02113
00277, 01946
00278, 02000
00279, 01982
00280, 01894
00281, 01881
00282, 01920
00283, 01835
00284, 01789
00285, 01722
00286, 01758
00287, 01721
00288, 01728
00289, 01647
00290, 01632
00291, 01687
00292, 01663
00293, 01598
00294, 01568
00295, 01499
00296, 01499
00297, 01451
00298, 01408
00299, 01385
00300, 01337
00301, 01441
00302, 01309
00303, 01281
00304, 01417
00305, 01309
00306, 01396
00307, 01294
00308, 01378
00309, 01322
00310, 01364
00311, 01372
00312, 01312
00313, 01248
00314, 01292
00315, 01266
00316, 01276
00317, 01197
00318, 01234
00319, 01145
00320, 01145
00321, 01193
00322, 01170
00323, 01179
00324, 01084
00325, 01130
00326, 01101
00327, 01095
00328, 01098
00329, 01066
00330, 01005
00331, 01049
00332, 01059
00333, 01002
00334, 01053
00335, 00995
00336, 01011
00337, 00961
00338, 00993
00339, 00989
00340, 01019
00341, 01000
00342, 00986
00343, 00960
