Index, Value
00000, 00000
00001, 00000
00002, 00000
00003, 00000
00004, 00000
00005, 00000
00006, 00000
00007, 00000
00008, 00000
00009, 00000
00010, 00000
00011, 00000
00012, 00000
00013, 00000
00014, 00000
00015, 00000
00016, 00000
00017, 00000
00018, 00000
00019, 00000
00020, 00000
00021, 00000
00022, 00000
00023, 00000
00024, 00000
00025, 00000
00026, 00000
00027, 00000
00028, 00000
00029, 00000
00030, 00000
00031, 00000
00032, 00000
00033, 00000
00034, 00000
00035, 00000
00036, 00000
00037, 00000
00038, 00000
00039, 00000
00040, 00000
00041, 00000
00042, 00000
00043, 00000
00044, 00000
00045, 00000
00046, 00000
00047, 00000
00048, 00000
00049, 00000
00050, 00000
00051, 00000
00052, 00000
00053, 00000
00054, 00000
00055, 00000
00056, 00000
00057, 00000
00058, 00000
00059, 00000
00060, 00000
00061, 00000
00062, 00000
00063, 00000
00064, 00000
00065, 00000
00066, 00000
00067, 00000
00068, 00000
00069, 00000
00070, 00000
00071, 00000
00072, 00000
00073, 00000
00074, 00000
00075, 00000
00076, 00000
00077, 00000
00078, 00000
00079, 00000
00080, 00000
00081, 00000
00082, 00000
00083, 00000
00084, 00000
00085, 00000
00086, 00000
00087, 00000
00088, 00000
00089, 00000
00090, 00000
00091, 00000
00092, 00000
00093, 00000
00094, 00000
00095, 00000
00096, 00000
00097, 00000
00098, 00000
00099, 00000
00100, 00000
00101, 00000
00102, 00000
00103, 00000
00104, 00000
00105, 00000
00106, 00000
00107, 00000
00108, 00000
00109, 00000
00110, 00000
00111, 00000
00112, 00000
00113, 00000
00114, 00000
00115, 00000
00116, 00000
00117, 00000
00118, 00000
00119, 00000
00120, 00000
00121, 00000
00122, 00000
00123, 00000
00124, 00000
00125, 00000
00126, 00000
00127, 00000
00128, 00000
00129, 00000
00130, 00000
00131, 00000
00132, 00000
00133, 00000
00134, 00000
00135, 00000
00136, 00000
00137, 00000
00138, 00000
00139, 00000
00140, 00000
00141, 00001
00142, 00000
00143, 00000
00144, 00000
00145, 00000
00146, 00000
00147, 00000
00148, 00000
00149, 00000
00150, 00000
00151, 00000
00152, 00000
00153, 00000
00154, 00000
00155, 00000
00156, 00000
00157, 00000
00158, 00000
00159, 00000
00160, 00000
00161, 00000
00162, 00000
00163, 00000
00164, 00000
00165, 00000
00166, 00000
00167, 00000
00168, 00000
00169, 00000
00170, 00000
00171, 00000
00172, 00001
00173, 00000
00174, 00000
00175, 00000
00176, 00000
00177, 00001
00178, 00002
00179, 00005
00180, 00011
00181, 00009
00182, 00037
00183, 00042
00184, 00082
00185, 00110
00186, 00252
00187, 00318
00188, 00531
00189, 00864
00190, 01153
00191, 02126
00192, 02657
00193, 04856
00194, 06131
00195, 10181
00196, 12723
00197, 19106
00198, 23673
00199, 30643
00200, 36739
00201, 42950
00202, 48756
00203, 52592
00204, 56064
00205, 55916
00206, 56097
00207, 52571
00208, 49820
00209, 45500
00210, 40805
00211, 36624
00212, 31582
00213, 28162
00214, 23780
00215, 21648
00216, 18588
00217, 16699
00218, 13983
00219, 12871
00220, 10985
00221, 10079
00222, 09040
00223, 08319
00224, 07944
00225, 07269
00226, 06756
00227, 06523
00228, 06300
00229, 05703
00230, 05622
00231, 05138
00232, 05070
00233, 04718
00234, 04722
00235, 04428
00236, 04366
00237, 04154
00238, 04108
00239, 04012
00240, 03881
00241, 03808
00242, 03694
00243, 03680
00244, 03628
00245, 03367
00246, 03516
00247, 03354
00248, 03204
00249, 03231
00250, 03216
00251, 03025
00252, 03046
00253, 02827
00254, 03011
00255, 02920
00256, 02841
00257, 02810
00258, 02740
00259, 02678
00260, 02721
00261, 02494
00262, 02594
00263, 02465
00264, 02468
00265, 02357
00266, 02298
00267, 02261
00268, 02265
00269, 02206
00270, 02272
00271, 02152
00272, 02126
00273, 02148
00274, 02226
00275, 02055
00276, 02082
00277, 02004
00278, 02014
00279, 01866
00280, 01918
00281, 01870
00282, 01858
00283, 01731
00284, 01787
00285, 01733
00286, 01730
00287, 01705
00288, 01741
00289, 01683
00290, 01735
00291, 01601
00292, 01650
00293, 01545
00294, 01508
00295, 01522
00296, 01504
00297, 01416
00298, 01506
00299, 01396
00300, 01408
00301, 01333
00302, 01279
00303, 01315
00304, 01301
00305, 01275
00306, 01257
00307, 01378
00308, 01332
00309, 01296
00310, 01260
00311, 01240
00312, 01221
00313, 01226
00314, 01264
00315, 01218
00316, 01178
00317, 01100
00318, 01165
00319, 01160
00320, 01207
00321, 01130
00322, 01159
00323, 01131
00324, 01149
00325, 01086
00326, 01117
00327, 01034
00328, 01090
00329, 01065
00330, 01039
00331, 00973
00332, 01037
00333, 00979
00334, 00983
00335, 00971
00336, 00998
00337, 01028
00338, 00970
00339, 00958
00340, 00957
00341, 00949
00342, 00970
00343, 00855
