current(mA),power(mW)
163.9,63.1
163.9,62
158.9,59.4
153.0,53.7
153.8,53
150,51.8
150,50
145.1,47.3
145,46
140,42.8
140,42
135,38.8
135,38
130,35.1
130,34
125,30.2
125,28
120,26.3
120.2,25
110,16.5
109.9,15
100,8
100.1,9.2
97.6,7.05
94.8,5.2
95.3,5.9
91.8,3.9
92.6,4.58
87.4,2.16
90.2,3.1
89.9,3.05
87.4,2.16
85.3,1.24
84.8, 1.13
84.8,1.20
84.8,0.570
80,0.42
80.3,0.4
74.9,0.34
75,0.345
69.9,0.32
65.1,0.29
60.1,0.263
54.6,0.240
49.9,0.218
43.7,0.189
39.7,0.161
35,0.148
29.6,0.119
24.9,0.099
19.7,0.077
14.8,0.061
10.0,0.044
5.1,0.030
0.3,0.018
70,0.3
60.1,0.2
50.1,0.21
40,0.16
30.2,0.10
20.1,0.076
10.3,0.044
0.3,0.019
