temperature(C),frequency(THz)
19.11,384.2316
*18.70,384.2188
*18.65,384.2194
18.62,384.2198
*18.55,384.2214
*18.46,384.2223
*18.40,384.2180
*18.27,384.2301
*18.21,384.2130
18.08,384.2108/384.1940/384.1772
*17.65,384.2182
*17.60,384.2190
*17.55,384.2005
17.47,384.2262
*17.10,384.1999
17.01,384.2236
*16.58,384.2180
16.48,384.2110
*16.38,384.1920
16.37,384.2075
*16.55,384.2150
*16.65,384.2225
*16.71,384.2219
*16.77,384.2160
*16.99,384.2124
*17.38,384.1742
*17.50, 384.1800
*17.75, 384.2218
*17.83,384.2163
17.90,384.3850
*18.60,384.1940
*18.80,384.2215
*18.94,384.2152
*19.14,384.2204
*19.35,384.2050
*19.45,384.1926
*19.55,384.2050
*19.61,384.2214
